cik,gvkey,company_name,tic,cusip,sic,naics
0000002852,1193.0,AGWAY INC,,,,
0000002880,1025.0,AIC INTERNATIONAL INC,,,,
0000002969,1209.0,"AIR PRODUCTS & CHEMICALS, INC.",,,,
0000003000,1213.0,AIRBORNE INC /DE/,,,,
0000003116,14304.0,AKORN INC,,,,
0000003124,15334.0,AKZO NOBEL NV,,,,
0000003133,1619.0,AMSOUTH BANCORPORATION,,,,
0000003146,1224.0,SPIRE ALABAMA INC,,,,
0000003153,1225.0,ALABAMA POWER CO,,,,
0000003197,1050.0,CECO ENVIRONMENTAL CORP,,,,
0000003202,1230.0,ALASKA AIRLINES INC,,,,
0000003228,1231.0,ALASKA GOLD CO,,,,
0000003270,29839.0,ALASKA POWER & TELEPHONE CO,,,,
0000003292,1235.0,ALBA WALDENSIAN INC,,,,
0000003303,14084.0,ALBANY INTERNATIONAL CORP /NY/,,,,
0000003327,1239.0,NEW ALBERTO-CULVER LLC,,,,
0000003333,1240.0,ALBERTSONS INC /DE/,,,,
0000003370,1246.0,IKON OFFICE SOLUTIONS INC,,,,
0000003398,1250.0,AEIRE CORP,,,,
0000003449,1253.0,ALEXANDER & ALEXANDER SERVICES INC,,,,
0000003453,1254.0,"MATSON, INC.",,,,
0000003499,1257.0,ALEXANDERS INC,,,,
0000003535,1264.0,ALGOREX CORP,,,,
0000003545,1266.0,"ALICO, INC.",,,,
0000003570,29453.0,"CHENIERE ENERGY, INC.",,,,
0000003642,16630.0,ALLCITY INSURANCE CO /NY/,,,,
0000003650,1276.0,ALLEGHENY & WESTERN RAILWAY CO,,,,
0000003662,1278.0,SUNBEAM CORP/FL/,,,,
0000003673,1279.0,"ALLEGHENY ENERGY, INC",,,,
0000003721,1281.0,ALLEN TELECOM INC,,,,
0000003753,1283.0,ALLEN ORGAN CO,,,,
0000003845,16633.0,ALLIED CAPITAL CORP/OLD,,,,
0000003906,116004.0,ALLIED CAPITAL CORP,,,,
0000003933,10548.0,THOR ENERGY RESOURCES INC,,,,
0000003941,1297.0,ALLIED PRODUCTS CORP /DE/,,,,
0000003952,13169.0,ALLIED DEFENSE GROUP INC,,,,
0000003959,63858.0,ITIS HOLDINGS INC,,,,
0000003975,1306.0,ALLIED VAN LINES INC,,,,
0000003982,1308.0,ALLIS CHALMERS ENERGY INC.,,,,
0000004127,1327.0,"SKYWORKS SOLUTIONS, INC.",,,,
0000004164,1331.0,ALPINE GROUP INC /DE/,,,,
0000004165,1332.0,ASIA SUPERNET CORP,,,,
0000004187,61925.0,"RECYCLING ASSET HOLDINGS, INC.",,,,
0000004281,1356.0,HOWMET AEROSPACE INC.,,,,
0000004285,1243.0,ALCAN INC,,,,
0000004310,1359.0,ALZA CORP,,,,
0000004317,1360.0,SENTO CORP,,,,
0000004319,21950.0,APPAREL AMERICA INC,,,,
0000004325,1361.0,AMALGAMATED AUTOMOTIVE INDUSTRIES INC,,,,
0000004344,1363.0,BESTWAY INC,,,,
0000004363,1365.0,AMAX INC /NY/,,,,
0000004421,1391.0,AMCORD INC,,,,
0000004427,1392.0,AMDAHL CORP,,,,
0000004438,1378.0,AMELCO CORP,,,,
0000004447,1380.0,HESS CORP,,,,
0000004457,1393.0,U-HAUL HOLDING CO /NV/,,,,
0000004507,1386.0,ORANGE CO INC /FL/,,,,
0000004515,1388.0,"AMERICAN AIRLINES, INC.",,,,
0000004570,17348.0,AMERICAN BANCORPORATION /WV/,,,,
0000004611,1397.0,AMERICAN BILTRITE INC,,,,
0000004672,1411.0,AMERICAN BUSINESS PRODUCTS INC,,,,
0000004707,1415.0,AMERICA CAPITAL CORP,,,,
0000004811,12651.0,AMERICAN CONSUMERS INC,,,,
0000004828,1429.0,AMERICAN CRYSTAL SUGAR CO /MN/,,,,
0000004829,1430.0,AMERICAN CYANAMID CO,,,,
0000004833,1431.0,AMERICAN CYTOGENETICS INC,,,,
0000004904,1440.0,AMERICAN ELECTRIC POWER CO INC,,,,
0000004911,1017.0,AEL INDUSTRIES INC,,,,
0000004960,4050.0,DOSKOCIL COMPANIES INC,,,,
0000004962,1447.0,AMERICAN EXPRESS CO,,,,
0000004969,1448.0,AMERICAN EXPRESS CREDIT CORP,,,,
0000004977,1449.0,AFLAC INC,,,,
0000005009,1456.0,AMERICAN FILTRONA CORP,,,,
0000005016,15403.0,AMERICAN FINANCIAL CORP,,,,
0000005094,1417.0,INVESCO BOND FUND,,,,
0000005099,14699.0,VAN KAMPEN CONVERTIBLE SECURITIES FUND,,,,
0000005103,1465.0,AMERICAN GENERAL CORP /TX/,,,,
0000005115,161147.0,VAN KAMPEN STRATEGIC GROWTH FUND,,,,
0000005117,23535.0,EMTEC INC/NJ,,,,
0000005133,1468.0,AMERICAN GREETINGS CORP,,,,
0000005172,1474.0,AMERICAN HERITAGE LIFE INVESTMENT CORP,,,,
0000005177,1475.0,AMDURA CORP,,,,
0000005187,1478.0,WYETH,,,,
0000005197,1480.0,AMERICAN HOSPITAL MANAGEMENT CORP,,,,
0000005227,16647.0,AMERICAN INDEMNITY FINANCIAL CORP,,,,
0000005272,1487.0,"AMERICAN INTERNATIONAL GROUP, INC.",,,,
0000005320,16663.0,AMVESTORS FINANCIAL CORP,,,,
0000005337,1491.0,HADERA PAPER LTD,,,,
0000005352,161149.0,FEDERATED AMERICAN LEADERS FUND INC,,,,
0000005385,1495.0,AMERICAN LIST CORP,,,,
0000005405,1498.0,AMERICAN MAIZE PRODUCTS CO,,,,
0000005486,1515.0,AMERICAN MORTGAGE & INVESTMENT CO,,,,
0000005506,161150.0,AMERICAN MUTUAL FUND,,,,
0000005513,8794.0,UNUM GROUP,,,,
0000005550,1530.0,AMERICAN NUCLEAR CORP,,,,
0000005588,63192.0,AMERICAN PAD & PAPER CO,,,,
0000005611,1537.0,FINA INC,,,,
0000005656,125999.0,AMERICAN INTERNATIONAL VENTURES INC /DE/,,,,
0000005657,1542.0,AMERICAN PRECISION INDUSTRIES INC,,,,
0000005696,1544.0,AMERAC ENERGY CORP,,,,
0000005719,1546.0,AMERICAN RECREATION CENTERS INC,,,,
0000005768,1554.0,"AMERICAN SCIENCE & ENGINEERING, INC.",,,,
0000005818,1560.0,AMERICAN SHIP BUILDING CO,,,,
0000005850,1567.0,AMERICAN STANDARD INC,,,,
0000005907,1581.0,AT&T CORP,,,,
0000005910,12793.0,AMERICAN TELEVISION & COMMUNICATIONS CORP,,,,
0000005971,176635.0,AMERICAN URANIUM CORP,,,,
0000005981,1585.0,AMERICAN VANGUARD CORP,,,,
0000006019,66142.0,NANO WORLD PROJECTS CORP,,,,
0000006071,1594.0,AMES DEPARTMENT STORES INC,,,,
0000006082,1598.0,AMETEK INC,,,,
0000006113,1041.0,AMI INDUSTRIES INC,,,,
0000006161,13231.0,AMOSKEAG CO,,,,
0000006164,1608.0,AMP INC,,,,
0000006176,1613.0,AMPCO PITTSBURGH CORP,,,,
0000006182,1614.0,AMPEX CORP,,,,
0000006201,1045.0,AMERICAN AIRLINES GROUP INC.,,,,
0000006207,1618.0,AMREP CORP.,,,,
0000006216,1623.0,AMSTED INDUSTRIES INC /DE/,,,,
0000006260,1627.0,ANACOMP INC,,,,
0000006281,1632.0,ANALOG DEVICES INC,,,,
0000006284,1633.0,ANALOGIC CORP,,,,
0000006292,1634.0,ANALYSTS INTERNATIONAL CORP,,,,
0000006314,1635.0,ANAREN INC,,,,
0000006383,1641.0,MOSCOW CABLECOM CORP,,,,
0000006435,1646.0,ANDERSON INDUSTRIES INC,,,,
0000006494,1650.0,ANDREA ELECTRONICS CORP,,,,
0000006571,1655.0,ANGELICA CORP /NEW/,,,,
0000006694,1669.0,BIRMINGHAM UTILITIES INC,,,,
0000006715,64119.0,ANTHONY C R CO,,,,
0000006720,1677.0,"OUTDOOR SPORTS GEAR, INC.",,,,
0000006732,20497.0,BE INDUSTRIES INC.,,,,
0000006769,1678.0,APACHE CORP,,,,
0000006814,6809.0,COMFORCE CORP,,,,
0000006845,1686.0,"APOGEE ENTERPRISES, INC.",,,,
0000006879,1689.0,APPALACHIAN POWER CO,,,,
0000006885,63874.0,STAGE STORES INC,,,,
0000006948,1703.0,INNOVATIVE MICRO TECHNOLOGY INC,,,,
0000006951,1704.0,APPLIED MATERIALS INC /DE,,,,
0000006955,1706.0,ENERPAC TOOL GROUP CORP,,,,
0000006992,145873.0,AQUA CHEM INC,,,,
0000007032,14097.0,"ARAMARK SERVICES, INC.",,,,
0000007039,1712.0,TRECORA RESOURCES,,,,
0000007084,1722.0,ARCHER-DANIELS-MIDLAND CO,,,,
0000007105,1725.0,ARCHON INC,,,,
0000007119,7440.0,MINSTAR INC,,,,
0000007184,1733.0,ARGONAUT ENERGY CORP,,,,
0000007214,1738.0,WASHINGTON MUTUAL FINANCE CORP,,,,
0000007286,1742.0,ARIZONA PUBLIC SERVICE CO,,,,
0000007302,1743.0,ARKANSAS BEST HOLDINGS CORP /DE/,,,,
0000007314,1746.0,NORAM ENERGY CORP/OLD,,,,
0000007323,1745.0,"ENTERGY ARKANSAS, LLC",,,,
0000007332,9904.0,SOUTHWESTERN ENERGY CO,,,,
0000007340,1747.0,ARKWIN INDUSTRIES INC,,,,
0000007346,1749.0,ARLEN CORP,,,,
0000007383,1755.0,ARMCO INC,,,,
0000007431,1762.0,ARMSTRONG WORLD INDUSTRIES INC,,,,
0000007533,1772.0,ARROW AUTOMOTIVE INDUSTRIES INC,,,,
0000007536,1773.0,"ARROW ELECTRONICS, INC.",,,,
0000007610,1780.0,ARTISTIC GREETINGS INC,,,,
0000007623,1783.0,ARTS WAY MANUFACTURING CO INC,,,,
0000007636,1786.0,ARVIN INDUSTRIES INC,,,,
0000007645,1062.0,ASA LTD,,,,
0000007646,100259.0,AGC INC./ADR,,,,
0000007649,1789.0,ASARCO INC,,,,
0000007694,1794.0,ASHLAND INC,,,,
0000007789,11842.0,ASSOCIATED BANC-CORP,,,,
0000007951,1063.0,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,,,,
0000007973,1816.0,ASSOCIATES CORPORATION OF NORTH AMERICA,,,,
0000007974,1831.0,ASSOCIATES FIRST CAPITAL CORP,,,,
0000008038,1819.0,ASTREX INC,,,,
0000008063,1234.0,ASTRONICS CORP,,,,
0000008065,1824.0,ASTROSYSTEMS INC,,,,
0000008088,1826.0,ATCHISON TOPEKA & SANTA FE RAILWAY CO,,,,
0000008109,1832.0,ATHEY PRODUCTS CORP,,,,
0000008117,1833.0,ATHLONE INDUSTRIES INC,,,,
0000008137,1835.0,ATKINSON GUY F CO OF CALIFORNIA,,,,
0000008146,1820.0,"ASTRONOVA, INC.",,,,
0000008154,261066.0,ATLANTA GAS LIGHT CO,,,,
0000008177,16671.0,ATLANTIC AMERICAN CORP,,,,
0000008192,14437.0,ATLANTIC CITY ELECTRIC CO,,,,
0000008299,1855.0,ATLAS CONSOLIDATED MINING & DEVELOPMENT CORP,,,,
0000008302,1856.0,ATLAS MINERALS INC,,,,
0000008328,61054.0,"APPLIED MINERALS, INC.",,,,
0000008411,1860.0,ATWOOD OCEANICS INC,,,,
0000008462,1865.0,AUGAT INC,,,,
0000008497,1868.0,ASSURANCEAMERICA CORP,,,,
0000008504,27339.0,AGEAGLE AERIAL SYSTEMS INC.,,,,
0000008565,24512.0,COMMONWEALTH BANK OF AUSTRALIA,,,,
0000008588,1873.0,AUTHENTICOLOR INC,,,,
0000008598,1874.0,AUTO GRAPHICS INC,,,,
0000008643,1884.0,MEDICORE INC,,,,
0000008670,1891.0,AUTOMATIC DATA PROCESSING INC,,,,
0000008699,1754.0,ARMATRON INTERNATIONAL INC,,,,
0000008734,1895.0,AMBASSADOR FOOD SERVICES CORP,,,,
0000008795,1909.0,AVCO FINANCIAL SERVICES INC,,,,
0000008802,1910.0,AVEMCO CORP,,,,
0000008818,1913.0,AVERY DENNISON CORP,,,,
0000008855,1496.0,AMERICAN LOCKER GROUP INC,,,,
0000008858,1919.0,AVNET INC,,,,
0000008868,1920.0,AVON PRODUCTS INC,,,,
0000008919,1923.0,AYDIN CORP,,,,
0000008947,1926.0,AZZ INC,,,,
0000008960,2159.0,BENEFICIAL CORP,,,,
0000009092,1968.0,BADGER METER INC,,,,
0000009096,1969.0,BADGER PAPER MILLS INC,,,,
0000009145,11595.0,WORLD WIDE LTD,,,,
0000009217,8495.0,PERRY & CO,,,,
0000009235,146734.0,BKF CAPITAL GROUP INC,,,,
0000009263,1974.0,MICHAEL BAKER CORP,,,,
0000009326,1979.0,BALCHEM CORP,,,,
0000009342,1981.0,BALDOR ELECTRIC CO,,,,
0000009346,1982.0,PROTECTIVE INSURANCE CORP,,,,
0000009389,1988.0,BALL CORP,,,,
0000009435,1990.0,BALLY ENTERTAINMENT CORP,,,,
0000009442,1992.0,BALTEK CORP,,,,
0000009466,1995.0,BALTIMORE GAS & ELECTRIC CO,,,,
0000009521,14659.0,BANCROFT FUND LTD,,,,
0000009534,2008.0,BANDAG INC,,,,
0000009548,2011.0,BANGOR HYDRO ELECTRIC CO,,,,
0000009568,2026.0,BANKCOM CORP,,,,
0000009622,15580.0,BANK OF MONTREAL,,,,
0000009626,2019.0,BANK OF NEW YORK CO INC,,,,
0000009631,15582.0,BANK OF NOVA SCOTIA,,,,
0000009659,2022.0,SIGNET BANKING CORP,,,,
0000009664,176462.0,UNITED NEW MEXICO FINANCIAL CORP,,,,
0000009672,2024.0,BANKAMERICA CORP,,,,
0000009677,2025.0,BRE PROPERTIES INC,,,,
0000009749,2029.0,BANKERS TRUST CORP,,,,
0000009779,2033.0,FAIRCHILD CORP,,,,
0000009781,5249.0,BANNER LIFE INSURANCE CO,,,,
0000009801,2034.0,BANTA CORP,,,,
0000009892,2044.0,BARD C R INC /NJ/,,,,
0000009984,2049.0,BARNES GROUP INC,,,,
0000010012,2051.0,BARNETT BANKS INC,,,,
0000010048,2052.0,BARNWELL INDUSTRIES INC,,,,
0000010081,13365.0,BARR PHARMACEUTICALS INC,,,,
0000010119,2058.0,BARRINGER TECHNOLOGIES INC,,,,
0000010154,2061.0,BARRY R G CORP /DE/,,,,
0000010242,2070.0,BASE TEN SYSTEMS INC,,,,
0000010254,2073.0,EARTHSTONE ENERGY INC,,,,
0000010329,2080.0,BASSETT FURNITURE INDUSTRIES INC,,,,
0000010427,2085.0,BAUSCH & LOMB INC,,,,
0000010456,2086.0,BAXTER INTERNATIONAL INC,,,,
0000010488,2088.0,BAY STATE GAS CO /NEW/,,,,
0000010497,2089.0,BAYBANKS INC,,,,
0000010624,11818.0,BEAR STEARNS & CO /BD,,,,
0000010795,2111.0,BECTON DICKINSON & CO,,,,
0000011027,2130.0,CARLYLE INDUSTRIES INC,,,,
0000011107,2142.0,VERIZON PENNSYLVANIA INC,,,,
0000011199,2154.0,"AMCOR FLEXIBLES NORTH AMERICA, INC.",,,,
0000011290,2162.0,BENGUET CORP,,,,
0000011390,17405.0,BENTHOS INC,,,,
0000011454,2169.0,BERGEN BRUNSWIG CORP,,,,
0000011544,14822.0,BERKLEY W R CORP,,,,
0000011545,2174.0,BERKLINE CORP,,,,
0000011814,2186.0,BEST LOCK CORP,,,,
0000011821,2185.0,BEST PRODUCTS CO INC,,,,
0000011825,2186.0,BEST UNIVERSAL LOCK CO,,,,
0000011856,2188.0,BETHLEHEM CORP,,,,
0000011860,2189.0,BETHLEHEM STEEL CORP /DE/,,,,
0000011884,2190.0,BETZDEARBORN INC,,,,
0000011913,17409.0,BEVERLY BANCORPORATION INC,,,,
0000011917,17407.0,BEVERLY HILLS BANCORP,,,,
0000011975,2197.0,BIC CORP,,,,
0000012027,9500.0,SCIOTO INVESTMENT CO,,,,
0000012040,4759.0,FLANIGANS ENTERPRISES INC,,,,
0000012105,117198.0,BIG V SUPERMARKETS INC,,,,
0000012180,2215.0,SAMES CORP,,,,
0000012203,8060.0,REXX ENVIRONMENTAL CORP,,,,
0000012208,2220.0,"BIO-RAD LABORATORIES, INC.",,,,
0000012239,2237.0,DOMINARI HOLDINGS INC.,,,,
0000012245,2239.0,BIRD CORP,,,,
0000012318,102039.0,IMPALA PLATINUM HOLDINGS LTD/ADR/,,,,
0000012355,2255.0,BLACK & DECKER CORP,,,,
0000012388,2258.0,BROADBAND WIRELESS INTERNATIONAL CORP,,,,
0000012400,2259.0,BLACK HILLS POWER INC,,,,
0000012473,2262.0,BLACKSTONE VALLEY ELECTRIC CO,,,,
0000012570,2264.0,LEXINGTON PRECISION CORP,,,,
0000012602,161475.0,PRINCIPAL GROWTH FUND INC /MD/,,,,
0000012603,161300.0,PRINCIPAL CAPITAL VALUE FUND INC,,,,
0000012614,2265.0,BLESSINGS CORP,,,,
0000012635,1922.0,AXIA INC,,,,
0000012654,2267.0,BLOCK DRUG CO INC,,,,
0000012659,2269.0,H&R BLOCK INC,,,,
0000012707,62671.0,BLOUNT INC,,,,
0000012733,2274.0,"BCS HOLDINGS, LLC",,,,
0000012779,2277.0,BLUE RIDGE REAL ESTATE CO,,,,
0000012927,2285.0,BOEING CO,,,,
0000012953,2287.0,BOGUE ELECTRIC MANUFACTURING CO,,,,
0000012978,2290.0,MAPLEBY HOLDINGS MERGER CORP,,,,
0000013006,2293.0,CIRCA PHARMACEUTICALS INC,,,,
0000013021,2294.0,BBN CORP,,,,
0000013033,2302.0,COMJOYFUL INTERNATIONAL CO,,,,
0000013055,105624.0,LEFT BEHIND GAMES INC.,,,,
0000013156,145474.0,"GALAXY GAMING, INC.",,,,
0000013191,2309.0,BOONTON ELECTRONICS CORP,,,,
0000013239,2316.0,HEXION INC.,,,,
0000013290,2323.0,BORMANS INC /DE/,,,,
0000013352,2330.0,BOSTON CO INC,,,,
0000013372,115567.0,NSTAR ELECTRIC CO,,,,
0000013390,2329.0,BOSTON GAS CO,,,,
0000013522,2338.0,REXAM PLC /ADR/,,,,
0000013547,2340.0,ENTRX CORP,,,,
0000013573,2342.0,BOWL AMERICA INC,,,,
0000013585,2343.0,BOWLES FLUIDICS CORP,,,,
0000013606,2345.0,WHITE ELECTRONIC DESIGNS CORP,,,,
0000013610,2346.0,BOWNE & CO INC,,,,
0000013777,2351.0,BRADLEY REAL ESTATE INC,,,,
0000013824,2357.0,BRL ENTERPRISES INC,,,,
0000013839,2360.0,BB&T FUNDS,,,,
0000014029,2375.0,BRENCO INC,,,,
0000014060,17433.0,BRENTON BANKS INC,,,,
0000014073,2381.0,BRESLER & REINER INC,,,,
0000014177,2390.0,BRIDGFORD FOODS CORP,,,,
0000014195,2393.0,BRIGGS & STRATTON CORP,,,,
0000014272,2403.0,BRISTOL MYERS SQUIBB CO,,,,
0000014280,2402.0,"MSGI TECHNOLOGY SOLUTIONS, INC",,,,
0000014343,1935.0,BDI INVESTMENT CORP,,,,
0000014358,161336.0,SELIGMAN COMMON STOCK FUND INC,,,,
0000014407,4187.0,EASTERN EDISON CO,,,,
0000014423,2419.0,BRODIE EXPLORATION CORP,,,,
0000014537,2283.0,BROOKS BOBBIE INC,,,,
0000014550,2426.0,BROOKS FASHION STORES INC,,,,
0000014595,100519.0,BROTHER INDUSTRIES LTD/ADR/,,,,
0000014637,2433.0,"BNS HOLDING, INC.",,,,
0000014693,2435.0,BROWN FORMAN CORP,,,,
0000014707,2436.0,CALERES INC,,,,
0000014803,2437.0,BROWN TOM INC /DE,,,,
0000014827,2439.0,BROWNING FERRIS INDUSTRIES INC,,,,
0000014846,1949.0,BRT APARTMENTS CORP.,,,,
0000014920,2443.0,BRUNOS INC,,,,
0000014930,2444.0,BRUNSWICK CORP,,,,
0000014971,2449.0,BRYAN STEAM CORP,,,,
0000014995,4005.0,DIXON TICONDEROGA CO,,,,
0000015288,2468.0,"BULLION MONARCH MINING, INC. (OLD)",,,,
0000015310,2469.0,BULOVA CORP,,,,
0000015354,6956.0,MAGNETIC TECHNOLOGIES CORP,,,,
0000015357,154984.0,CHASE GENERAL CORP,,,,
0000015393,2477.0,BUREAU OF NATIONAL AFFAIRS INC,,,,
0000015486,2482.0,BURKE MILLS INC,,,,
0000015511,12312.0,BNSF RAILWAY CO,,,,
0000015615,2497.0,MASTEC INC,,,,
0000015678,2507.0,EMEX CORP,,,,
0000015836,2517.0,BUTLER INTERNATIONAL INC,,,,
0000015840,2518.0,BUTLER MANUFACTURING CO,,,,
0000015847,2519.0,BUTLER NATIONAL CORP,,,,
0000016040,2593.0,CABOT CORP,,,,
0000016058,2596.0,CACI INTERNATIONAL INC /DE/,,,,
0000016095,2605.0,CAESARS WORLD INC,,,,
0000016099,6831.0,LUB LIQUIDATING TRUST,,,,
0000016104,2606.0,CAGLES INC,,,,
0000016160,64275.0,CAL-MAINE FOODS INC,,,,
0000016218,4259.0,ELECTRIC M & R INC,,,,
0000016317,2618.0,CALIFORNIA ENGELS MINING CO,,,,
0000016343,2621.0,PATRIOT AMERICAN HOSPITALITY INC/DE,,,,
0000016357,2625.0,AB LIQUIDATING CORP,,,,
0000016387,20791.0,CAPITAL TRUST,,,,
0000016422,2628.0,CALIFORNIA WATER SERVICE CO,,,,
0000016476,15060.0,CALLON PETROLEUM CO/MS,,,,
0000016496,2636.0,CALPROP CORP,,,,
0000016573,2647.0,CAMBRIDGE ELECTRIC LIGHT CO,,,,
0000016590,2644.0,CAMBEX CORP,,,,
0000016614,31276.0,CAMCO FINANCIAL CORP,,,,
0000016732,2663.0,CAMPBELL'S CO,,,,
0000016741,2664.0,EARTHGRAINS CO,,,,
0000016754,2665.0,O&Y PROPERTIES CORP,,,,
0000016804,2677.0,CANADA SOUTHERN PETROLEUM LTD,,,,
0000016847,15581.0,CANADIAN IMPERIAL BANK OF COMMERCE,,,,
0000016859,6233.0,SCULLY ROYALTY LTD.,,,,
0000016868,2696.0,CANADIAN NATIONAL RAILWAY CO,,,,
0000016873,2697.0,NEXEN INC,,,,
0000016875,2698.0,CANADIAN PACIFIC KANSAS CITY LTD/CN,,,,
0000016906,2707.0,CANAL ELECTRIC CO,,,,
0000016918,2710.0,"CONSTELLATION BRANDS, INC.",,,,
0000016988,2721.0,CANON INC,,,,
0000017109,2729.0,CAPITAL CITIES ABC INC /NY/,,,,
0000017206,65351.0,PROVIDIAN CORP,,,,
0000017221,2733.0,CAPITAL INVESTMENT OF HAWAII INC,,,,
0000017313,20029.0,CAPITAL SOUTHWEST CORP,,,,
0000017385,16736.0,CAPITOL TRANSAMERICA CORP,,,,
0000017482,2747.0,CARDIAC RESUSCITATOR CORP,,,,
0000017485,2748.0,"LIBERATOR MEDICAL HOLDINGS, INC.",,,,
0000017500,1004.0,AAR CORP,AIR,000361105,5080.0,423860.0
0000017544,152668.0,AEROTELESIS INC,,,,
0000017610,10703.0,TRANZONIC COS,TNZ,894120104,2670.0,322291.0
0000017797,144848.0,"DUKE ENERGY PROGRESS, LLC.",,,,
0000017843,2787.0,CARPENTER TECHNOLOGY CORP,,,,
0000017927,2791.0,CARROLS CORP,,,,
0000018000,2797.0,CARTER WALLACE INC /DE/,ABT,002824100,3845.0,334510.0
0000018061,2802.0,CASCADE CORP,,,,
0000018072,2803.0,CASCADE NATURAL GAS CORP,,,,
0000018122,17703.0,CASIO COMPUTER CO LTD/ADR/,,,,
0000018169,2812.0,DOLE FOOD CO INC,,,,
0000018172,2811.0,A. M. CASTLE & CO.,,,,
0000018180,14660.0,CASTLE CONVERTIBLE FUND INC,,,,
0000018230,2817.0,CATERPILLAR INC,,,,
0000018255,2818.0,CATO CORP,,,,
0000018349,13041.0,SYNOVUS FINANCIAL CORP,,,,
0000018366,2529.0,CBS BROADCASTING INC,,,,
0000018396,2538.0,CDI CORP,,,,
0000018429,2825.0,CEDAR POINT INC,,,,
0000018443,162254.0,CELANESE CORP,,,,
0000018497,2836.0,CENCOR INC,,,,
0000018498,5109.0,GENESCO INC,,,,
0000018508,14825.0,FOREMOST CORP OF AMERICA,,,,
0000018532,2845.0,CENTEX LLC,,,,
0000018540,2847.0,CENTRAL & SOUTH WEST CORP,,,,
0000018568,2849.0,COMPASS BANCSHARES INC,,,,
0000018570,1039.0,AMC INVESTORS INC,AMC.3,001670108,2300.0,
0000018605,2852.0,CENTRAL NATURAL RESOURCES INC,,,,
0000018647,2856.0,CENTRAL HUDSON GAS & ELECTRIC CORP,,,,
0000018651,2857.0,CENTRAL ILLINOIS LIGHT CO,,,,
0000018654,24868.0,AMEREN ILLINOIS CO,,,,
0000018660,1057.0,ABEX CORP,8892A,001935006,3743.0,
0000018672,2859.0,CLECO POWER LLC,,,,
0000018675,2860.0,CENTRAL MAINE POWER CO,,,,
0000018734,2862.0,AEP TEXAS CENTRAL CO,,,,
0000018748,14661.0,CENTRAL SECURITIES CORP,,,,
0000018783,2865.0,CENTRAL STEEL & WIRE CO,,,,
0000018787,2839.0,CENTEL CORP,,,,
0000018792,2866.0,CENTRAL TELEPHONE CO,,,,
0000018808,2870.0,CENTRAL VERMONT PUBLIC SERVICE CORP,,,,
